,Unnamed: 0,track_uri,track_id,track_name,album_release_date,track_year,popular_year,Top100
733,733,spotify:track:6CFPFnS9EcLs2I0nWqtWci,6CFPFnS9EcLs2I0nWqtWci,Because Of You,2007-01-01,2007,2007,Y
734,734,spotify:track:7I6DceMT3utDOHjcYCbrr4,7I6DceMT3utDOHjcYCbrr4,Don't Matter,2006-01-01,2006,2007,Y
735,735,spotify:track:0wbDgMuAoy7O7pL3a69uZx,0wbDgMuAoy7O7pL3a69uZx,Give It To Me,2007-04-02,2007,2007,Y
736,736,spotify:track:3N4DI1vuTSX1tz7fa2NQZw,3N4DI1vuTSX1tz7fa2NQZw,Rehab,2006,2006,2007,Y
737,737,spotify:track:1RGIjMFMgJxkZHMDXVYzOJ,1RGIjMFMgJxkZHMDXVYzOJ,Bartender (feat. Akon),2007-06-05,2007,2007,Y
738,738,spotify:track:4NeOWqHmlrGRuBvsLJC9rL,4NeOWqHmlrGRuBvsLJC9rL,My Love (feat. T.I.),2006-09-13,2006,2007,Y
739,739,spotify:track:3wKKkGVn7cVSfgPeYYIiXG,3wKKkGVn7cVSfgPeYYIiXG,Kiss Kiss (feat. T-Pain),2007-11-06,2007,2007,Y
740,740,spotify:track:5Y77SQxEr1eiofPeUTPHxM,5Y77SQxEr1eiofPeUTPHxM,You,2007-01-01,2007,2007,Y
741,741,spotify:track:4T6HLdP6OcAtqC6tGnQelG,4T6HLdP6OcAtqC6tGnQelG,Everything,2007-04-30,2007,2007,Y
742,742,spotify:track:0CXVjQI9wsqaGeIARkkpYc,0CXVjQI9wsqaGeIARkkpYc,I Wanna Love You,2006-01-01,2006,2007,Y
743,743,spotify:track:7iu0WYLdo4yksKf3seaxzI,7iu0WYLdo4yksKf3seaxzI,Hate That I Love You,2008-06-02,2008,2007,Y
744,744,spotify:track:2fAIfPLrPUTW1AmJRR428Q,2fAIfPLrPUTW1AmJRR428Q,Ruby,2007-01-01,2007,2007,Y
745,745,spotify:track:4KTtYhxFtFL7mBwnjkKfLm,4KTtYhxFtFL7mBwnjkKfLm,Glamorous,2006-09-13,2006,2007,Y
746,746,spotify:track:7e8utCy2JlSB8dRHKi49xM,7e8utCy2JlSB8dRHKi49xM,Fluorescent Adolescent,2007-04-24,2007,2007,Y
747,747,spotify:track:1oagRT7LfpVlNJN6FSZDGp,1oagRT7LfpVlNJN6FSZDGp,"This Ain't A Scene, It's An Arms Race",2007-01-01,2007,2007,Y
748,748,spotify:track:4Tn2llBm1g0UlWctmgPL8Z,4Tn2llBm1g0UlWctmgPL8Z,Shut Up And Drive,2008-06-02,2008,2007,Y
749,749,spotify:track:54JKnDB3CzVu8wNAOM27BI,54JKnDB3CzVu8wNAOM27BI,When You're Gone,2007-04-17,2007,2007,Y
750,750,spotify:track:1D066zixBwqFYqBhKgdPzp,1D066zixBwqFYqBhKgdPzp,Fergalicious,2006-09-13,2006,2007,Y
751,751,spotify:track:1BV0m40U0M4t1SLIsDnwZl,1BV0m40U0M4t1SLIsDnwZl,1973,2007-09-17,2007,2007,Y
